item_id,item_geohash,item_category
327414838,,11991
169831798,,7876
320523991,,3370
116127392,,2158
54421963,,1483
251152696,,10120
44459510,,8476
250846211,,7143
278145496,,10699
44467640,,4008
250845893,,6794
251152984,,1169
177311909,,6648
250831997,,9569
320519437,,7939
4446923,,1032
250830236,,10431
251153791,,3064
394732752,,2284
250829375,,3064
117151719,96ulbnj,7350
44472119,,10085
250826588,,11376
177445644,,10297
306960525,,3064
250821554,,10412
129879292,,9450
177318638,,10582
250819607,,4245
307189753,,12170
177318932,,6700
250818818,,6648
394397536,,198
152152557,946jq5l,10290
250818122,,6648
117151719,979pn97,7350
288097107,,11406
250810649,,3660
177447138,,8927
44472845,,8261
250805996,,8270
251160481,,11039
444729,,11492
250804469,,4778
117151719,979pnst,7350
373477562,,6648
250798364,,6986
39439596,,1963
44477651,,8561
250797422,,9829
251162143,,150
31207990,,7390
250796075,,5273
292351764,,9618
17733340,,9155
250793249,,5273
394395880,,4778
152152557,9qvpppr,10290
250793228,,11952
177447615,,10501
177334553,,10356
250779134,,12553
117151719,97ln366,7350
103317961,,12630
250778687,,10012
13659166,,4830
177335816,,3067
250772243,,3690
311093202,95ucrcd,4561
72676308,,8561
250769957,,5446
177451743,,8561
44477894,,8099
250767026,,198
251166193,,7350
382877771,,3000
250764320,,3708
117151719,97r3u70,7350
177338240,,6648
250764287,,7876
251167387,,11952
382876391,,4830
25076259,,8179
320502454,,56
394734456,,10431
25076172,,3660
141365535,99nfbli,3487
44478728,,3368
250759955,,10431
320499943,,3064
385357791,,3000
250743320,,3690
251171674,,1032
177339182,,5480
250737251,,4830
394393138,,11039
288093183,,9232
250733267,,8662
177453939,,5351
96406570,94fdbh6,5573
250730561,,7995
278148445,,438
288083802,,732
105205324,,10236
32049971,,5962
177341534,,10431
54419371,,10735
251172811,,3064
177341561,,6794
250725536,,9450
251173201,,6794
103320178,,2334
250713398,,7572
251173756,,4559
116133485,,10662
250709198,,9757
117151719,97rcqse,7350
44485703,,11991
169833181,,11406
32049353,,10825
327420694,,11406
169835683,,10576
177458013,,9593
44487170,,198
169838569,,6648
394389397,,7995
116134562,,12370
25070805,,3846
293872147,,10431
72674481,,7350
250707980,,3064
29235348,,3064
177343670,,836
250706267,,6794
320493358,,6643
44492774,,12090
169843111,,280
320493229,,9450
177346187,,3064
250705838,,3064
251179249,,5324
327421900,,3846
54417865,,7791
117151719,97tm4w7,7350
44498654,,12996
250703912,,9933
129885835,,3064
44501549,,6986
54409594,,7572
39438444,,8344
394734981,,9236
250697585,,2158
39438291,,3397
17735158,,12090
250696073,,12630
141365535,99ctpnt,3487
44505389,,4830
169844521,,12090
29235489,,362
96406570,95rwdeq,5573
250690907,,5951
266305908,,8344
152152557,94cp6nq,10290
250689440,,12067
307188376,,8678
373475336,,11376
89167161,,6794
307187029,,13042
382875548,,10431
250685864,,9569
177470400,,3660
4450628,,3064
169849717,,150
311093202,9rnee4k,4561
152152557,9ql33jd,10290
250682873,,3660
32048993,,7572
44513045,,12553
250681583,,2284
25120067,,3064
44514008,,7239
112351077,,8099
320489287,,7572
72671661,,6648
25067910,,3660
251200837,,8792
177359504,,8268
54406033,,2284
293866501,,10582
177363050,,5480
169859497,,3451
320487598,,8850
313108809,,3064
250666154,,8270
251203351,,11376
44515631,,7350
169859932,,9569
251204047,,11832
44523695,,3064
250659005,,3942
134018920,,836
44534639,,10732
250657766,,8476
251206168,,10825
44536841,,4588
54405925,,7995
320484406,,10431
327426247,,11406
250656674,,2284
320482777,,3368
4453850,,8939
250652231,,7995
107762769,,2284
373470731,,9933
250648001,,7350
320480413,,4282
11613807,,12067
16986306,,3064
251211514,,94
44541266,,10431
89160798,,8099
177476163,,1106
152152557,94fdnec,10290
250644071,,12326
117151719,99000lw,7350
177381260,,12407
250643831,,10939
311093202,95ucqh0,4561
44547545,,10431
25064328,,3064
177477849,,10431
28808060,,8595
250637918,,10920
117151719,99b9shn,7350
382875401,,94
250637825,,7467
320479804,,2284
44550731,,7876
54404281,,6417
292367115,,1649
44551553,,12221
169867891,,732
251217544,,1029
98848196,,5320
54403444,,4588
307180621,,11406
152152557,9qkgqs5,10290
25063611,,94
251218411,,56
44552105,,11406
250635368,,94
107763114,,11406
44554940,,10137
250629773,,94
251220748,,5446
7266893,,3067
250627034,,4670
177479982,,3067
327431227,,4830
25062636,,12067
320479303,,6648
44559245,,6648
250625915,,5712
251222629,,3064
177387053,,3925
169872709,,10637
292370376,,10431
96406570,94ebu7r,5573
54392347,,11406
74548483,955nkbe,10290
177388478,,7140
112351614,,6648
117151719,99c1a15,7350
142944216,,10431
169874128,,11952
251223640,,13374
44562188,,1963
89157864,,2225
320477854,,7140
44564654,,1686
54388522,,8850
292370790,,3925
44565461,,10012
250624352,,6986
129897835,,1169
177391160,,2334
169877848,,6630
307178872,,4582
177392786,,7995
250616456,,4830
251226901,,1550
373468121,,5273
169878277,,4533
320477623,,4582
152152557,94fdnjd,10290
25061538,,5273
292373913,,1527
37346618,,9614
250610471,,4778
141365535,99nfldt,3487
44567963,,7876
250602059,,12375
251230297,,7350
100969771,,9614
250600331,,8678
311093202,9rn9f26,4561
72665844,,4677
250600169,,13500
30717454,,10356
44571488,,7350
250587929,,10015
320476810,,12221
382872929,,9933
112352202,,10120
117151719,99ch1o0,7350
44572100,,10356
169883656,,9569
394368946,,3064
177393704,,2284
169884232,,198
251231359,,12630
4457291,,3368
169885747,,13547
320475202,,2284
44573357,,6648
250584134,,12791
251231605,,5988
177395771,,3660
250582055,,4830
141365535,99ctw2b,3487
327432700,,3846
250579061,,11039
141365535,99ujjs4,3487
72665613,,10412
89154825,,6648
251232085,,5533
72665454,,4778
54388105,,11406
320471932,,6225
177403967,,12538
169887085,,8099
320470483,,11991
177405260,,8561
250577609,,10662
251232364,,9205
96406570,9.62E+98,5573
169888708,,8792
117151719,99ckr05,7350
44582621,,6247
250577408,,4008
293850409,,7350
142944138,,3925
250567985,,5993
320469445,,3000
177405785,,11406
250563014,,4830
251235910,,6648
96406570,94ebnni,5573
250562102,,3942
251236426,,11406
44584055,,12067
250560737,,7033
320469223,,7643
311739872,,10063
250557929,,5273
141365535,99cu69k,3487
44585936,,3000
54387898,,8099
278155255,,6417
44588705,,5932
250543277,,7350
320467189,,10467
44589548,,4670
5438782,,10012
251247067,,11039
44592641,,7350
5438593,,7769
32046437,,9086
177415046,,6648
250536938,,3064
394357456,,3064
311173685,,6648
54374713,,8990
307174033,,11664
44592662,,4553
16989636,,7467
394357114,,8561
72664155,,8376
54365689,,5635
251247865,,3064
44601398,,9614
250536161,,7876
320463640,,8270
44603147,,12791
250535093,,4830
394354471,,1963
44609057,,10236
250532186,,2284
177500439,,5446
38286914,,4830
250527893,,12823
177501531,,8587
96406570,9623g69,5573
250520093,,3064
251252335,,4245
44610611,,13500
105206251,,3960
292381080,,2284
17742142,,7850
250520039,,2683
394347601,,4588
44619320,,3925
250518857,,9789
320459602,,12570
327434602,,12630
54365281,,11991
25125464,,9614
44622890,,3660
54357634,,11952
394344400,,4588
177425009,,12221
169904293,,9614
251257300,,3064
177425579,,5711
250517462,,12067
320459293,,12630
44623826,,10431
89144358,,12221
17750309,,3064
152152557,9qhj2j5,10290
25051482,,12758
129899791,,3723
152152557,94gd0fm,10290
250511393,,3064
1775042,,3064
177427646,,10501
169911496,,9829
394343464,,4245
327434797,,10431
250507010,,13547
251258521,,1242
177429992,,10576
250505552,,7033
320459071,,1029
116146742,,11406
169911847,,11406
251262244,,6367
44627615,,12791
250502018,,3064
320455501,,3064
44629829,9rgbakc,8828
250498850,,2288
177505671,,6417
177433415,,7350
169916383,,6862
293845252,,10544
142944129,,3067
250485401,,9205
117151719,99ct6qg,7350
44643719,95a6n3h,3487
250471943,,7390
394342348,,5993
177433775,,8792
5434222,,2284
101328935,,4245
44643719,956mj1w,3487
54339061,,3723
251267659,,8254
373463465,,8646
250458437,,13042
292382142,,7572
177436277,,9569
250457396,,2683
177505701,,5993
96406570,94ebc79,5573
54336274,,8270
394342216,,2936
44643719,9rg6imh,3487
11236397,,12919
141365535,9h5462t,3487
327437377,,8376
250457339,,4582
311093202,96knrrc,4561
32743801,,9904
250457216,,3660
25127363,,953
327438034,,1344
2504496,,7390
278158765,,9086
177438437,,12326
169921792,,9086
320446699,,11991
152152557,9psrmkf,10290
250448369,,12536
311093202,95uc5kg,4561
116148455,,9614
250447718,,3846
320445022,,8990
72660729,,7467
54332470,,8254
117151719,99ctim9,7350
177438776,,10356
169925104,,4830
177515343,,9017
306959853,,10699
169926604,,12630
141365535,99cui4v,3487
37346321,,6700
250441010,,3483
394340953,,12536
44643719,95eqnhk,3487
9724553,,4245
394335637,,12919
96406570,9623ick,5573
250437980,,4230
129900595,,4327
382864799,,8605
54330193,,7350
177515577,,3064
177441560,,279
25043229,,5712
320439025,,12326
152152557,94gd39t,10290
250425083,,150
177515727,,12326
177445871,,3064
54328849,,7995
177515760,,3942
288063762,,7791
16993293,,6648
